Date,Open,High,Low,Close,Adj Close,Volume
2019-05-22,201.779999,203.250000,201.779999,201.940002,196.807709,314700
2019-05-23,199.389999,199.509995,196.960007,198.270004,193.230972,791700
2019-05-24,199.500000,200.389999,198.270004,198.429993,193.386917,292200
2019-05-28,199.050003,200.360001,197.809998,197.809998,192.782654,418800
2019-05-29,196.509995,197.699997,195.389999,196.479996,191.486435,786600
2019-05-30,197.119995,198.199997,196.449997,197.639999,192.616959,404700
2019-05-31,195.229996,196.320007,194.389999,194.460007,189.517807,480000
2019-06-03,194.789993,195.699997,189.690002,190.919998,186.067749,837600
2019-06-04,193.380005,197.369995,192.509995,197.259995,192.246597,433800
2019-06-05,199.750000,200.270004,197.399994,199.809998,194.731827,818100
2019-06-06,200.199997,202.500000,199.360001,202.020004,196.885666,552500
2019-06-07,203.039993,206.729996,202.800003,205.550003,200.325912,403900
2019-06-10,207.240005,209.949997,207.179993,207.800003,202.518768,799300
2019-06-11,210.070007,210.309998,206.470001,207.550003,202.275116,1218000
2019-06-12,206.860001,207.259995,206.059998,206.649994,201.397980,395500
2019-06-13,207.389999,207.869995,206.589996,207.250000,201.982742,1036700
2019-06-14,205.699997,206.059998,204.679993,205.389999,200.169998,248000
2019-06-17,205.580002,206.699997,205.389999,205.800003,200.569595,274400
2019-06-18,207.860001,210.500000,207.339996,209.250000,203.931900,402400
2019-06-19,209.839996,210.750000,208.500000,210.259995,204.916229,377000
2019-06-20,213.399994,214.039993,211.470001,213.160004,207.742538,467100
2019-06-21,212.179993,213.169998,211.259995,211.399994,206.645767,481600
2019-06-24,211.800003,212.179993,211.220001,211.220001,206.469818,286300
2019-06-25,211.210007,211.320007,207.289993,207.520004,202.853027,470300
2019-06-26,209.440002,211.130005,209.440002,209.509995,204.798264,278900
2019-06-27,210.369995,210.970001,209.929993,210.479996,205.746445,392600
2019-06-28,211.199997,211.380005,209.850006,210.889999,206.147232,632300
2019-07-01,215.369995,215.660004,213.029999,213.979996,209.167755,893700
2019-07-02,213.750000,214.610001,213.300003,214.610001,209.783554,355300
